lakeid	Depth	hp_factor
CR	0	0
CR	0.5	0.047
CR	1	0.0454
CR	1.5	0.0454
CR	2	0.041
CR	2.5	0.0411
CR	3	0.0358
CR	3.5	0.0358
CR	4	0.0344
CR	4.5	0.0345
CR	5	0.0334
CR	5.5	0.0334
CR	6	0.0323
CR	6.5	0.0324
CR	7	0.0314
CR	7.5	0.0315
CR	8	0.0305
CR	8.5	0.0305
CR	9	0.0293
CR	9.5	0.0293
CR	10	0.0275
CR	10.5	0.0276
CR	11	0.0253
CR	11.5	0.0253
CR	12	0.0228
CR	12.5	0.0228
CR	13	0.0201
CR	13.5	0.0201
CR	14	0.0175
CR	14.5	0.0175
CR	15	0.0146
CR	15.5	0.0147
CR	16	0.0123
CR	16.5	0.0123
CR	17	0.0097
CR	17.5	0.0098
CR	18	0.0067
CR	18.5	0.0068
CR	19	0.0042
CR	19.5	0.0042
CR	20	0.0019
CR	20.4	0.0019
